,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5075,Need for Speed Carbon,X360,2006,Racing,Electronic Arts,0.76,0.7,0.02,0.18,1.66
5076,Who Wants to be a Millionaire: 2nd Edition,DS,2008,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
5077,Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0.0,0.0,0.01,0.15
5078,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.62
5079,Lost Planet 3,PS3,2013,Shooter,Capcom,0.07,0.06,0.06,0.03,0.22
5080,NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
5081,Demon Driver: Time to Burn Rubber!,GBA,2003,Racing,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03
5082,Wetrix,N64,1998,Puzzle,Ocean,0.06,0.02,0.0,0.0,0.08
5083,Pro Evolution Soccer 2015,PC,2014,Sports,Konami Digital Entertainment,0.0,0.06,0.0,0.01,0.07
5084,We Sing,Wii,2009,Misc,Nordic Games,0.0,0.69,0.0,0.09,0.78
5085,July,DC,1998,Adventure,Fortyfive,0.0,0.0,0.06,0.0,0.06
5086,From TV Animation One Piece: Grand Battle! 3,GC,2003,Fighting,Namco Bandai Games,0.0,0.0,0.2,0.01,0.21
5087,Kao the Kangaroo,GBA,2001,Platform,Titus,0.01,0.0,0.0,0.0,0.01
5088,Imagine: Zookeeper,DS,2009,Simulation,Ubisoft,0.16,0.06,0.0,0.02,0.24
5089,Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Aqua Plus,0.0,0.0,0.04,0.0,0.04
5090,Reel Fishing III,PS2,2003,Sports,Natsume,0.18,0.14,0.0,0.05,0.37
5091,Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0.0,0.0,0.0,0.07
5092,Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.93
5093,Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0.0,0.02,0.46
5094,Brain Exercise With Dr. Kawashima,PC,2009,Puzzle,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
5095,Sailor Moon,SNES,1993,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
5096,Gundam Battle Universe,PSP,2008,Fighting,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
5097,Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.15,0.04,0.0,0.01,0.2
5098,Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.04,0.33
5099,Fate/Unlimited Codes,PS2,2008,Fighting,Capcom,0.0,0.0,0.14,0.0,0.14
5100,Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,0.2,0.01,0.0,0.02,0.23
5101,Mace Griffin: Bounty Hunter,PS2,2003,Shooter,Electronic Arts,0.09,0.07,0.0,0.02,0.18
5102,The First Templar,PC,2011,Action,Kalypso Media,0.06,0.01,0.0,0.01,0.08
5103,Ridge Racer 2,PSP,2006,Racing,Sony Computer Entertainment,0.0,0.03,0.07,0.01,0.11
5104,Maximum Racing: Crash Car Racer,Wii,2010,Racing,Nordic Games,0.01,0.01,0.0,0.0,0.02
5105,Monster Hunter G,Wii,2009,Role-Playing,Capcom,0.0,0.0,0.25,0.0,0.25
5106,How to Train Your Dragon,X360,2010,Action,Activision,0.11,0.02,0.0,0.01,0.14
5107,Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,0.11,0.04,0.02,0.01,0.18
5108,Duke Nukem: Land of the Babes,PS,2000,Shooter,Atari,0.04,0.03,0.0,0.0,0.07
5109,Turok 3: Shadow of Oblivion,N64,2000,Shooter,Acclaim Entertainment,0.12,0.05,0.0,0.0,0.17
5110,Hot Wheels Turbo Racing,PS,1999,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.06
5111,BioShock 2,PC,2010,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.25
5112,Naval Assault: The Killing Tide,X360,2010,Simulation,505 Games,0.08,0.07,0.0,0.02,0.17
5113,Zenkoku Dekotora Matsuri,Wii,2008,Racing,Jaleco,0.0,0.0,0.03,0.0,0.03
5114,Bleach: Soul Carnival 2,PSP,2009,Fighting,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
5115,Yakuza 4,PS3,2010,Action,Sega,0.15,0.14,0.63,0.05,0.97
5116,Rapala Pro Bass Fishing 2010,X360,2010,Sports,Activision,0.32,0.05,0.0,0.03,0.4
5117,Jojo's Bizarre Adventure,PS,1999,Fighting,Virgin Interactive,0.01,0.01,0.0,0.0,0.02
5118,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68
5119,Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1
5120,Metal Max 2 Reloaded,DS,2011,Role-Playing,Unknown,0.0,0.0,0.05,0.0,0.05
5121,Pro Yaky? Spirits 4,PS2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
5122,Rune Factory: Tides of Destiny,PS3,2011,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.01,0.22
5123,Wall-E,PC,2008,Platform,THQ,0.0,0.01,0.0,0.0,0.01
5124,Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2004,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06
5125,Batman: A Telltale Game Series,PS3,2016,Adventure,Telltale Games,0.0,0.01,0.0,0.0,0.01
5126,Trivial Pursuit: Bet You Know It,Wii,2011,Misc,Electronic Arts,0.1,0.04,0.0,0.01,0.15
5127,Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.09,0.0,0.02,0.29
5128,Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
5129,Reign of Fire,GC,2002,Shooter,BAM! Entertainment,0.08,0.02,0.0,0.0,0.1
5130,Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
5131,Harvest Moon: The Tale of Two Towns,3DS,2010,Simulation,Unknown,0.28,0.0,0.0,0.02,0.3
5132,Tony Hawk's Proving Ground,PS3,2007,Sports,Activision,0.36,0.05,0.0,0.05,0.46
5133,Ashes Cricket 2009,Wii,2009,Sports,Codemasters,0.0,0.23,0.0,0.01,0.24
5134,Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0.13,0.0,0.04,0.4
5135,One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38
5136,South Park Rally,N64,2000,Racing,Acclaim Entertainment,0.16,0.04,0.0,0.0,0.2
5137,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.02,0.02,0.0,0.0,0.04
5138,Britney's Dance Beat,GBA,2002,Misc,THQ,0.15,0.06,0.0,0.0,0.21
5139,Zen-Nippon Pro Wrestling: Ouja no Kon,PS,1999,Fighting,Human Entertainment,0.0,0.0,0.12,0.01,0.13
5140,Dolphin,2600,1983,Action,Activision,0.27,0.02,0.0,0.0,0.29
5141,Buzz! Junior: Jungle Party,PS2,2006,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
5142,Full Spectrum Warrior: Ten Hammers,XB,2006,Strategy,THQ,0.03,0.01,0.0,0.0,0.04
5143,Batman Beyond: Return of the Joker,PS,2000,Action,Ubisoft,0.09,0.06,0.0,0.01,0.16
5144,Chaos Legion,PS2,2003,Action,Capcom,0.15,0.12,0.0,0.04,0.31
5145,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56
5146,Plushees,DS,2008,Simulation,Destineer,0.01,0.0,0.0,0.0,0.01
5147,Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,0.09,0.0,0.12,0.01,0.22
5148,Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0.0,0.14,0.7
5149,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,Strategy,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1
5150,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,Nintendo,0.0,0.0,0.01,0.0,0.01
5151,Jikkyou World Soccer 2000 Final Edition,PS2,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66
5152,World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0.0,0.0,0.01,0.18
5153,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,PS2,2007,Adventure,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
5154,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,2010,Adventure,Yeti,0.0,0.0,0.03,0.0,0.03
5155,Cheer We Go!,DS,2010,Misc,Natsume,0.04,0.0,0.0,0.0,0.04
5156,Time Crisis: Crisis Zone,PS2,2004,Shooter,Namco Bandai Games,0.11,0.09,0.0,0.03,0.23
5157,Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33
5158,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
5159,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
5160,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31
5161,Dance on Broadway,PS3,2011,Misc,Ubisoft,0.05,0.03,0.0,0.01,0.09
5162,NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87
5163,Omega Labyrinth,PSV,2015,Role-Playing,D3Publisher,0.0,0.0,0.05,0.0,0.05
5164,Divinity II: The Dragon Knight Saga,X360,2010,Role-Playing,Focus Home Interactive,0.11,0.02,0.0,0.01,0.14
5165,The Cursed Crusade,X360,2011,Action,DTP Entertainment,0.08,0.05,0.0,0.01,0.14
5166,11eyes: CrossOver,X360,2009,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
5167,Need for Speed Carbon: Own the City,DS,2006,Racing,Electronic Arts,0.17,0.02,0.0,0.02,0.21
5168,Speed Punks,PS,1998,Racing,Sony Computer Entertainment,0.11,0.08,0.0,0.01,0.2
5169,Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,0.71,0.55,0.0,0.19,1.45
5170,Zero4 Champ RR,SNES,1994,Sports,Media Rings,0.0,0.0,0.36,0.0,0.36
5171,PopCap Hits! Vol 2,X360,2011,Misc,Mastertronic,0.0,0.03,0.0,0.0,0.03
5172,The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0.32,0.31,0.0,0.07,0.7
5173,Tenchu Z,X360,2006,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34
5174,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,2006,Adventure,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
5175,Family Party: 90 Great Games Party Pack,Wii,2010,Misc,D3Publisher,0.31,0.0,0.0,0.02,0.33
5176,DoDonPachi Daifukkatsu: Black Label,X360,2011,Shooter,Cave,0.0,0.0,0.01,0.0,0.01
5177,The Grim Adventures of Billy & Mandy,Wii,2006,Action,Midway Games,0.04,0.0,0.0,0.0,0.04
5178,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",DS,2008,Misc,D3Publisher,0.0,0.0,0.02,0.0,0.02
5179,Syphon Filter: The Omega Strain,PS2,2004,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76
5180,FIFA 06 Soccer,GC,2005,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14
5181,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03
5182,Mercury Meltdown,PSP,2006,Action,Atari,0.05,0.01,0.0,0.01,0.07
5183,Armored Core: Nexus,PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.27
5184,Go! Go! Hypergrind,GC,2003,Sports,Atlus,0.02,0.01,0.0,0.0,0.03
5185,Farming Simulator 2015,XOne,2015,Simulation,Koch Media,0.1,0.07,0.0,0.02,0.19
5186,Super Power League 2,SNES,1994,Sports,Hudson Soft,0.0,0.0,0.33,0.0,0.33
5187,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.85
5188,WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.38,0.56,0.0,0.19,1.13
5189,WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.49,0.01,0.2,1.18
5190,Extreme-G,N64,1997,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59
5191,LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.17,0.0,0.05,0.32
5192,Espgaluda II Black Label,X360,2010,Shooter,Cave,0.0,0.0,0.04,0.0,0.04
5193,Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24
5194,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.3
5195,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.68,0.0,0.12,1.25
5196,Marvel Superheroes 3D: Grandmaster's Challenge,Wii,2010,Action,Neko Entertainment,0.0,0.01,0.0,0.0,0.01
5197,PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
5198,Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,0.12,0.0,0.0,0.01,0.13
5199,Circus Atari,2600,1977,Action,Atari,0.43,0.03,0.0,0.0,0.46
5200,Frogger: Ancient Shadow,GC,2005,Platform,Konami Digital Entertainment,0.04,0.01,0.0,0.0,0.05
5201,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95
5202,Guild 01,3DS,2012,Action,Level 5,0.0,0.0,0.05,0.0,0.05
5203,Nintendogs and Cats Golden Retriever and New Friends,3DS,2011,Action,Nintendo,0.0,0.01,0.0,0.0,0.01
5204,Superman Returns,DS,2006,Action,Electronic Arts,0.07,0.0,0.0,0.01,0.08
5205,NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37
5206,Taiko no Tatsujin: Appare Sandaime,PS2,2003,Misc,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49
5207,Grind Session,PS,2000,Sports,Sony Computer Entertainment,0.24,0.17,0.0,0.03,0.44
5208,Iron Man 2,PS3,2010,Action,Sega,0.14,0.19,0.0,0.07,0.4
5209,SD Gundam G Generation 3D,3DS,2011,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
5210,Child of Eden,X360,2011,Shooter,Ubisoft,0.28,0.12,0.0,0.04,0.44
5211,Duel Masters: Sempai Legends,GBA,2003,Misc,Atari,0.21,0.08,0.0,0.01,0.3
5212,Dishonored,XOne,2015,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14
5213,Band Hero,PS3,2009,Misc,Activision,0.41,0.24,0.0,0.11,0.76
5214,Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.02,0.32
5215,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04
5216,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
5217,Dreamfall: The Longest Journey,XB,2006,Adventure,Empire Interactive,0.03,0.01,0.0,0.0,0.04
5218,Suzumiya Haruhi no Gekidou,Wii,2009,Adventure,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07
5219,MySims,Wii,2007,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.67
5220,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0.0,0.06,0.9
5221,Rugby Challenge 3,X360,2016,Sports,Alternative Software,0.0,0.02,0.0,0.0,0.02
5222,Castlevania: Lords of Shadow 2,PC,2014,Action,Konami Digital Entertainment,0.01,0.03,0.0,0.0,0.04
5223,Sports Illustrated for Kids: Football,GBA,2003,Sports,BAM! Entertainment,0.13,0.05,0.0,0.0,0.18
5224,NeverDead,X360,2012,Shooter,Konami Digital Entertainment,0.06,0.03,0.0,0.01,0.1
5225,Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,GungHo,0.0,0.0,0.2,0.0,0.2
5226,The Golden Compass,DS,2007,Action,Sega,0.28,0.25,0.0,0.06,0.59
5227,Armored Core SL: Silent Line Portable,PSP,2009,Simulation,From Software,0.0,0.0,0.03,0.0,0.03
5228,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
5229,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96
5230,Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,2009,Role-Playing,Gust,0.0,0.0,0.02,0.0,0.02
5231,Thrillville: Off the Rails,Wii,2007,Strategy,LucasArts,0.39,0.02,0.0,0.03,0.44
5232,Indianapolis 500 Legends,Wii,2007,Racing,Destineer,0.12,0.0,0.0,0.01,0.13
5233,Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0.0,0.06,0.01,0.14
5234,The Walking Dead: Season One,PS3,2012,Adventure,Avanquest Software,0.4,0.25,0.03,0.11,0.79
5235,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49
5236,Monster Lab,Wii,2008,Role-Playing,Eidos Interactive,0.28,0.02,0.0,0.02,0.32
5237,Custom Robo,GC,2004,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37
5238,Monster High 13 Wishes,3DS,2013,Action,Little Orbit,0.0,0.02,0.0,0.0,0.02
5239,Call of Duty: The War Collection,X360,2010,Shooter,Activision,0.05,0.0,0.0,0.0,0.05
5240,F1 2012,X360,2012,Racing,Codemasters,0.1,0.35,0.0,0.06,0.51
5241,Sky Odyssey,PS2,2000,Simulation,Sony Computer Entertainment,0.16,0.12,0.0,0.04,0.32
5242,NHL 2003,GC,2002,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13
5243,Madden NFL 2005,XB,2004,Sports,Electronic Arts,1.61,0.03,0.0,0.08,1.72
5244,Lagoon,SNES,1991,Role-Playing,Kemco,0.0,0.0,0.05,0.0,0.05
5245,NBA 08,PS2,2007,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
5246,Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,Misc,Take-Two Interactive,0.05,0.04,0.0,0.01,0.1
5247,Bomberman,DS,2005,Puzzle,Ubisoft,0.1,0.02,0.03,0.01,0.16
5248,VR Soccer '96,PS,1996,Sports,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05
5249,Call of Duty 2,X360,2005,Shooter,Activision,1.81,0.05,0.01,0.15,2.02
5250,Shockwave Assault,PS,1995,Simulation,Electronic Arts,0.05,0.04,0.0,0.01,0.1
5251,Carnival Games: Wild West 3D,3DS,2011,Misc,Take-Two Interactive,0.06,0.02,0.0,0.01,0.09
5252,World Series Baseball,XB,2002,Sports,Sega,0.17,0.05,0.0,0.01,0.23
5253,Saints Row IV,XOne,2015,Action,Deep Silver,0.1,0.09,0.0,0.02,0.21
5254,Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,Activision,0.13,0.05,0.0,0.0,0.18
5255,The Hustle: Detroit Streets,XB,2006,Sports,Activision,0.01,0.0,0.0,0.0,0.01
5256,Madden NFL 13,WiiU,2012,Sports,Electronic Arts,0.22,0.0,0.0,0.02,0.24
5257,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25
5258,Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0.0,0.02,0.13
5259,The Crew: Wild Run,PS4,2015,Action,Ubisoft,0.0,0.08,0.0,0.01,0.09
5260,Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.48
5261,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.87
5262,Evil Dead: Fistfull of Boomstick,PS2,2003,Action,THQ,0.19,0.15,0.0,0.05,0.39
5263,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,2007,Misc,D3Publisher,0.0,0.0,0.06,0.0,0.06
5264,Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.17
5265,pro evolution soccer 2011,PC,2010,Sports,Konami Digital Entertainment,0.0,0.05,0.0,0.01,0.06
5266,Romance of the Three Kingdoms VIII,PS2,2002,Strategy,Tecmo Koei,0.05,0.04,0.19,0.01,0.29
5267,Black & Bruised,GC,2003,Fighting,Vivendi Games,0.04,0.01,0.0,0.0,0.05
5268,Tiger Woods PGA Tour 06,X360,2005,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.3
5269,Joint Operations: Combined Arms,PC,2009,Shooter,NovaLogic,0.01,0.0,0.0,0.0,0.01
5270,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,3DS,2014,Adventure,Happinet,0.0,0.0,0.04,0.0,0.04
5271,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0.0,0.1,1.57
5272,Overlord II,PC,2009,Action,Codemasters,0.0,0.03,0.0,0.01,0.04
5273,Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,Misc,Konami Digital Entertainment,0.18,0.03,0.0,0.02,0.23
5274,The Godfather (JP sales),X360,2006,Action,Electronic Arts,0.0,0.0,0.01,0.0,0.01
5275,Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2
5276,Whiteout,PS2,2002,Racing,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
5277,LEGO Harry Potter: Years 5-7,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0.0,0.16,0.97
5278,Brothers Conflict: Precious Baby,PSV,2017,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
5279,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
5280,Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15
5281,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PSV,2015,Simulation,FuRyu,0.0,0.0,0.03,0.0,0.03
5282,Top Spin,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.0,0.02,0.46
5283,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.47,0.07,1.1,0.15,2.79
5284,Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62
5285,Need for Speed Underground 2,GBA,2004,Racing,Electronic Arts,0.31,0.12,0.0,0.01,0.44
5286,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.53
5287,Knights in the Nightmare: DHE Series Special Pack,DS,2008,Role-Playing,Sting,0.0,0.0,0.01,0.0,0.01
5288,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97
5289,Speed Kings,PS2,2003,Racing,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.1
5290,Free Running,Wii,2009,Sports,Reef Entertainment,0.02,0.02,0.0,0.0,0.04
5291,Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0.0,0.03,0.45
5292,Jikkyou Powerful Pro Yakyuu 2014,PSV,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
5293,Aqua Panic!,DS,2009,Puzzle,Neko Entertainment,0.01,0.01,0.0,0.0,0.02
5294,CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0.0,0.02,0.18
5295,Super Robot Taisen MX,PS2,2004,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5
5296,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,2010,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
5297,Tom Clancy's Splinter Cell 3D,3DS,2011,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3
5298,Drakan: The Ancients' Gates,PS2,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
5299,FIFA 14,PSV,2013,Sports,Electronic Arts,0.11,0.25,0.01,0.13,0.5
5300,Pursuit Force,PSP,2005,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.02,0.17
5301,F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
5302,Blood of Bahamut,DS,2009,Role-Playing,Square Enix,0.0,0.0,0.09,0.0,0.09
5303,MotoGP,XB,2002,Racing,THQ,0.07,0.02,0.0,0.0,0.09
5304,Katekyoo Hitman Reborn! DS: Fate of Heat II - Unmei no Futari,DS,2009,Role-Playing,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03
5305,Stuntman: Ignition,PS2,2007,Racing,THQ,0.13,0.1,0.0,0.03,0.26
5306,Tom Clancy's Splinter Cell: Double Agent,Wii,2006,Action,Ubisoft,0.1,0.01,0.0,0.01,0.12
5307,F-1 Grand Prix,SNES,1992,Racing,Video System,0.0,0.0,0.28,0.0,0.28
5308,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
5309,Cars,Wii,2006,Racing,THQ,0.83,0.04,0.0,0.07,0.94
5310,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
5311,Daikaijyuu Monogatari,SNES,1994,Role-Playing,Hudson Soft,0.0,0.0,0.3,0.0,0.3
5312,Who Wants to Be A Millionaire?,X360,2011,Misc,Ubisoft,0.09,0.0,0.0,0.01,0.1
5313,ArmA II,PC,2009,Shooter,505 Games,0.0,0.12,0.0,0.03,0.15
5314,Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,1.58,0.0,0.0,0.12,1.7
5315,Shinkyoku Soukai Polyphonica,PS2,2007,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
5316,Rinne no Lagrange: Kamogawa Days,PS3,2012,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
5317,Teen Titans,PS2,2006,Action,THQ,0.12,0.1,0.0,0.03,0.25
5318,Pop'n Music 12 Iroha,PS2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
5319,IGT Slots: Lucky Larry's Lobstermania,PC,2011,Simulation,Masque Publishing,0.01,0.0,0.0,0.0,0.01
5320,Desire,SAT,1997,Adventure,Imadio,0.0,0.0,0.14,0.0,0.14
5321,Indigo Prophecy,PC,2005,Adventure,Atari,0.0,0.02,0.0,0.0,0.02
5322,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011,Strategy,Konami Digital Entertainment,0.1,0.03,0.07,0.01,0.21
